Date,Fatalities
09/17/1908,1
09/07/1909,1
07/12/1912,5
08/06/1913,1
09/09/1913,14
10/17/1913,30
03/05/1915,21
09/03/1915,19
07/28/1916,20
09/24/1916,22
10/01/1916,19
11/21/1916,27
11/28/1916,20
03/04/1917,20
03/30/1917,23
05/14/1917,21
06/14/1917,24
06/17/1917,14
08/21/1917,18
10/20/1917,18
04/07/1918,23
05/10/1918,22
08/11/1918,19
12/16/1918,1
05/25/1919,1
07/19/1919,1
07/21/1919,3
08/02/1919,14
10/02/1919,1
10/14/1919,1
10/20/1919,0
10/30/1919,1
12/11/1919,1
03/10/1920,1
03/30/1920,1
04/10/1920,1
04/11/1920,1
05/12/1920,1
06/06/1920,1
07/20/1920,1
08/16/1920,1
08/16/1920,1
09/01/1920,2
09/15/1920,2
09/27/1920,1
10/02/1920,2
10/05/1920,2
10/15/1920,1
11/07/1920,1
12/14/1920,4
12/24/1920,1
02/03/1921,1
02/09/1921,3
02/15/1921,2
02/22/1921,1
04/06/1921,2
04/21/1921,1
04/29/1921,1
05/17/1921,1
08/14/1921,2
08/24/1921,46
09/06/1921,5
12/05/1921,2
01/14/1922,5
02/21/1922,34
03/22/1922,5
04/07/1922,7
04/08/1922,17
06/03/1922,3
07/04/1922,2
07/16/1922,5
07/26/1922,3
09/07/1922,1
10/02/1922,4
10/25/1922,2
12/03/1922,1
01/10/1923,3
01/17/1923,1
01/18/1923,1
02/26/1923,1
05/14/1923,6
08/27/1923,1
08/27/1923,2
09/07/1923,1
09/14/1923,5
11/18/1923,3
12/06/1923,1
12/23/1923,52
12/24/1923,1
03/07/1924,1
04/24/1924,3
06/08/1924,5
08/01/1924,1
11/06/1924,1
12/21/1924,1
12/24/1924,8
03/22/1925,5
04/25/1925,3
06/25/1925,4
06/26/1925,2
07/20/1925,1
07/24/1925,1
09/03/1925,14
09/07/1925,NULL
10/01/1925,1
11/14/1925,1
11/14/1925,2
02/12/1926,1
03/08/1926,1
05/31/1926,1
07/03/1926,6
07/09/1926,2
07/24/1926,5
08/18/1926,3
09/26/1926,2
10/02/1926,7
10/08/1926,4
10/21/1926,0
11/11/1926,3
12/16/1926,1
01/12/1927,0
03/20/1927,1
03/24/1927,3
04/15/1927,1
04/22/1927,2
04/22/1927,1
05/02/1927,1
07/27/1927,5
08/22/1927,1
09/03/1927,1
09/17/1927,7
09/17/1927,3
09/23/1927,6
10/06/1927,2
10/30/1927,4
11/08/1927,1
11/16/1927,6
11/29/1927,1
12/28/1927,1
12/31/1927,5
01/08/1928,3
01/16/1928,2
01/22/1928,1
01/22/1928,2
01/27/1928,1
02/26/1928,1
03/11/1928,2
04/17/1928,1
04/19/1928,9
05/07/1928,1
