ID,Name,Latitude,Longitude,League,PrimaryColor,SecondaryColor,Level
TOL,Toledo Mud Hens,41.5486,-83.6387,300,gray,,AAA
ARI,Arizona Diamondbacks,33.4453,-112.0667,700,#A71930,#E3D4AD,MLB
ATL,Atlanta Braves,33.8911,-84.4684,700,#CE1141,#13274F,MLB
BAL,Baltimore Orioles,39.2839,-76.6216,700,#DF4601,#000000,MLB
BOS,Boston Red Sox,42.3467,-71.0987,700,#BD3039,#0C2340,MLB
CHC,Chicago Cubs,41.9477,-87.656,700,#0E3386,#CC3433,MLB
CWS,Chicago White Sox,41.5,-87.6348,700,#27251F,#C4CED4,MLB
CIN,Cincinnati Reds,39.0974,-84.5071,700,#C6011F,#000000,MLB
CLE,Cleveland Indians,41.4962,-81.6852,700,#0C2340,#E31937,MLB
COL,Colorado Rockies,39.7559,-104.9942,700,#33006F,#C4CED4,MLB
DET,Detroit Tigers,42.139,-83.0485,700,#0C2340,#FFFFFF,MLB
HOU,Houston Astros,29.7573,-95.3555,700,#002D62,#EB6E1F,MLB
KAN,Kansas City Royals,39.0517,-94.4803,700,#004687,#BD9B60,MLB
LAA,Los Angeles Angels of Anaheim,33.8003,-117.8827,700,#BA0021,#003263,MLB
LAD,Los Angeles Dodgers,34.0739,-118.24,700,#005A9C,#FFFFFF,MLB
MIA,Miami Marlins,25.7781,-80.2196,700,#00A3E0,#EF3340,MLB
MIL,Milwaukee Brewers,43.028,-87.9712,700,#12284B,#FFC52F,MLB
MIN,Minnesota Twins,44.9817,-93.2776,700,#002B5C,#D31145,MLB
NYM,New York Mets,40.3571,-73.8458,700,#002D72,#FF5910,MLB
NYY,New York Yankees,40.8296,-73.9262,700,#0C2340,#FFFFFF,MLB
OAK,Oakland Athletics,37.7516,-121.8015,700,#003831,#EFB21E,MLB
PHI,Philadelphia Phillies,39.9061,-75.1665,700,#E81828,#002D72,MLB
PIT,Pittsburgh Pirates,40.4469,-80.0057,700,#27251F,#FDB827,MLB
SD,San Diego Padres,32.7073,-117.1567,700,#2F241D,#FFC425,MLB
SF,San Francisco Giants,37.7786,-122.3893,700,#FD5A1E,#27251F,MLB
SEA,Seattle Mariners,47.5914,-122.3325,700,#0C2C56,#005C5C,MLB
STL,St. Louis Cardinals,38.6226,-90.1928,700,#C41E3A,#0C2340,MLB
TB,Tampa Bay Rays,27.7682,-82.6534,700,#092C5C,#8FBCE6,MLB
TEX,Texas Rangers,32.751,-97.083,700,#003278,#C0111F,MLB
TOR,Toronto Blue Jays,43.6418,-79.3891,700,#134A8E,#1D2D5C,MLB
WAS,Washington Nationals,38.873,-77.0074,700,#AB0003,#14225A,MLB
NOR,Norfolk Tides,36.8431,-76.2793,300,gray,,AAA
WOR,Worcester Red Sox,42.2575,-71.8005,300,gray,,AAA
SWB,Scranton/Wilkes-Barre RailRiders,41.2247,-75.136,300,gray,,AAA
DUR,Durham Bulls,35.9917,-78.9041,300,gray,,AAA
BUF,Buffalo Bisons,42.8804,-78.8738,300,gray,,AAA
CHA,Charlotte Knights,35.2284,-80.8487,300,gray,,AAA
CMB,Columbus Clippers,40.0016,-83.0197,300,gray,,AAA
OMA,Omaha Storm Chasers,41.2565,-95.9345,300,gray,,AAA
STP,St. Paul Saints,44.9508,-93.084,300,gray,,AAA
SUG,Sugar Land Skeeters,29.6224,-95.6473,300,gray,,AAA
SLT,Salt Lake Bees,40.7406,-111.8927,300,gray,,AAA
LV,Las Vegas Aviators,36.0907,-115.183952,300,gray,,AAA
TAC,Tacoma Rainiers,47.238,-122.4976,300,gray,,AAA
RND,Round Rock Express,30.5277,-97.6301,300,gray,,AAA
GWI,Gwinnett Stripers,34.0405,-83.9923,300,gray,,AAA
JAC,Jacksonville Jumbo Shrimp,30.3246,-81.6437,300,gray,,AAA
SYR,Syracuse Mets,43.0792,-76.1654,300,gray,,AAA
LEH,Lehigh Valley IronPigs,40.6259,-75.4526,300,gray,,AAA
ROC,Rochester Red Wings,43.1875,-77.6109,300,gray,,AAA
IOW,Iowa Cubs,41.878,-93.0977,300,gray,,AAA
LOU,Louisville Bats,38.2556,-85.7442,300,gray,,AAA
NSH,Nashville Sounds,36.1437,-86.7739,300,gray,,AAA
IND,Indianapolis Indians,39.7648,-86.1684,300,gray,,AAA
MEM,Memphis Redbirds,35.1427,-90.05,300,gray,,AAA
REN,Reno Aces,39.5288,-119.8077,300,gray,,AAA
ALB,Albuquerque Isotopes,35.07,-106.6289,300,gray,,AAA
OKC,Oklahoma City Dodgers,35.4652,-97.5078,300,gray,,AAA
ELP,El Paso Chihuahuas,31.7584,-106.4932,300,gray,,AAA
SAC,Sacremento River Cats,38.5805,-121.5135,300,gray,,AAA
AMA,Amarillo Sod Poodles,35.222,-101.8313,100,gray,,AA
ARK,Arkansas Travelers,34.7555,-92.2726,100,gray,,AA
CC,Corpus Christi Hooks,27.8006,-97.3964,100,gray,,AA
